iata,icao,name,city,country,lat,lon,elev_m,tz
LUD,FYLZ,Luderitz Airport,Luderitz,NA,-26.68740,15.24290,139,Africa/Windhoek
LUG,LSZA,Lugano Airport,Agno,CH,46.00430,8.91058,279,Europe/Zurich
LUK,KLUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,US,39.10236,-84.41894,147,America/New_York
LUM,ZPMS,Dehong Mangshi International Airport,Dehong (Mangshi),CN,24.40110,98.53170,881,Asia/Shanghai
LUN,FLKK,Kenneth Kaunda International Airport,Lusaka,ZM,-15.33083,28.45272,1152,Africa/Lusaka
LUQ,SAOU,Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,AR,-33.27320,-66.35640,710,America/Argentina/San_Luis
LUR,PALU,Cape Lisburne LRRS Airport,Cape Lisburne,US,68.87510,-166.11000,5,America/Nome
LUV,WAPF,Karel Sadsuitubun Airport,Langgur,ID,-5.76028,132.75944,24,Asia/Jayapura
LUX,ELLX,Luxembourg-Findel International Airport,Luxembourg,LU,49.62685,6.21213,376,Europe/Luxembourg
LUZ,EPLB,Lublin Airport,Lublin,PL,51.24016,22.71346,193,Europe/Warsaw
LVI,FLHN,Harry Mwanga Nkumbula International Airport,Livingstone,ZM,-17.82152,25.81964,1006,Africa/Lusaka
LWB,KLWB,Greenbrier Valley Airport,Lewisburg,US,37.85791,-80.40044,702,America/New_York
LWN,UDSG,Shirak International Airport,Gyumri,AM,40.75040,43.85930,1524,Asia/Yerevan
LWS,KLWS,Lewiston Nez Perce County Airport,Lewiston,US,46.37450,-117.01500,440,America/Los_Angeles
LXA,ZULS,Lhasa Gonggar International Airport,Shannan (Gonggar),CN,29.29800,90.91195,3570,Asia/Shanghai
LXR,HELX,Luxor International Airport,Luxor,EG,25.67102,32.70645,84,Africa/Cairo
LYA,ZHLY,Luoyang Beijiao Airport,Luoyang (Laocheng),CN,34.74110,112.38800,256,Asia/Shanghai
LYC,ESNL,Lycksele Airport,Lycksele,SE,64.54830,18.71620,215,Europe/Stockholm
LYG,ZSLG,Lianyungang Huaguoshan International Airport,Lianyungang,CN,34.41406,119.17899,0,Asia/Shanghai
LYH,KLYH,Lynchburg Regional Airport - Preston Glenn Field,Lynchburg,US,37.32670,-79.20040,286,America/New_York
LYI,ZSLY,Linyi Qiyang Airport,Linyi (Hedong),CN,35.05292,118.41183,54,Asia/Shanghai
LYP,OPFA,Faisalabad International Airport,Faisalabad,PK,31.36492,72.99532,180,Asia/Karachi
LYR,ENSB,"Svalbard Airport, Longyear",Longyearbyen,NO,78.24610,15.46560,27,Arctic/Longyearbyen
LYS,LFLL,Lyon Saint-Exupéry Airport,"Colombier-Saugnieu, Rhône",FR,45.72600,5.09014,250,Europe/Paris
LZG,ZULA,Langzhong Gucheng Airport,Nanchong (Langzhong),CN,31.50191,106.03442,440,Asia/Shanghai
LZH,ZGZH,Liuzhou Bailian Airport / Bailian Air Base,Liuzhou (Liujiang),CN,24.20750,109.39100,90,Asia/Shanghai
LZN,RCFG,Matsu Nangan Airport,Matsu (Nangan),TW,26.15966,119.95838,71,Asia/Taipei
LZO,ZULZ,Luzhou Yunlong Airport,Luzhou (Yunlong),CN,29.03036,105.46841,0,Asia/Shanghai
LZY,ZUNZ,Nyingchi Mainling Airport,Nyingchi (Mainling),CN,29.30330,94.33530,2949,Asia/Shanghai
MAA,VOMM,Chennai International Airport,Chennai,IN,12.99001,80.16930,16,Asia/Kolkata
MAB,SBMA,João Correa da Rocha Airport,Marabá,BR,-5.36859,-49.13800,109,America/Belem
MAD,LEMD,Adolfo Suárez Madrid–Barajas Airport,Madrid,ES,40.49341,-3.57225,609,Europe/Madrid
MAF,KMAF,Midland International Air and Space Port,Midland,US,31.94250,-102.20200,875,America/Chicago
MAG,AYMD,Madang Airport,Madang,PG,-5.20708,145.78900,6,Pacific/Port_Moresby
MAH,LEMH,Menorca Airport,Mahón (Maó),ES,39.86260,4.21865,92,Europe/Madrid
MAJ,PKMJ,Marshall Islands International Airport,Majuro Atoll,MH,7.06511,171.27166,2,Pacific/Majuro
MAK,HSSM,Malakal International Airport,Malakal,SS,9.55874,31.65194,393,Africa/Juba
MAM,MMMA,General Servando Canales International Airport,Matamoros,MX,25.76990,-97.52530,8,America/Matamoros
MAN,EGCC,Manchester Airport,"Manchester, Greater Manchester",GB,53.34938,-2.27952,78,Europe/London
MAO,SBEG,Eduardo Gomes International Airport,Manaus,BR,-3.03861,-60.04970,80,America/Manaus
MAQ,VTPM,Mae Sot Airport,,TH,16.69990,98.54510,210,Asia/Bangkok
MAR,SVMC,La Chinita International Airport,Maracaibo,VE,10.55754,-71.72931,73,America/Caracas
MAS,AYMO,Momote Airport,Manus Island,PG,-2.06189,147.42400,4,Pacific/Port_Moresby
MAU,NTTP,Maupiti Airport,,PF,-16.42650,-152.24400,5,Pacific/Tahiti
MAZ,TJMZ,Eugenio Maria De Hostos Airport,Mayaguez,PR,18.25570,-67.14850,9,America/Puerto_Rico
MBA,HKMO,Moi International Airport,Mombasa,KE,-4.03483,39.59420,61,Africa/Nairobi
MBD,FAMM,Mmabatho International Airport,Mafeking,ZA,-25.79840,25.54800,1274,Africa/Johannesburg
MBE,RJEB,Monbetsu Airport,Monbetsu,JP,44.30390,143.40401,24,Asia/Tokyo
MBI,HTGW,Songwe Airport,Mbeya,TZ,-8.91994,33.27398,1345,Africa/Dar_es_Salaam
MBJ,MKJS,Sangster International Airport,Montego Bay,JM,18.50342,-77.91323,1,America/Jamaica
MBS,KMBS,MBS International Airport,Freeland,US,43.53318,-84.08310,204,America/Detroit
MBT,RPVJ,Moises R. Espinosa Airport,Masbate,PH,12.36968,123.63009,15,Asia/Manila
MBW,YMMB,Melbourne Moorabbin Airport,Melbourne,AU,-37.97776,145.09980,15,Australia/Melbourne
MBX,LJMB,Maribor Edvard Rusjan Airport,Maribor,SI,46.47990,15.68610,267,Europe/Ljubljana
MCE,KMCE,Merced Regional Macready Field,Merced,US,37.28470,-120.51400,47,America/Los_Angeles
MCG,PAMC,McGrath Airport,McGrath,US,62.95290,-155.60600,104,America/Anchorage
MCI,KMCI,Kansas City International Airport,Kansas City,US,39.30170,-94.71389,313,America/Chicago
MCK,KMCK,McCook Ben Nelson Regional Airport,McCook,US,40.20779,-100.59279,787,America/Chicago
MCN,KMCN,Middle Georgia Regional Airport,Macon,US,32.69280,-83.64920,108,America/New_York
MCO,KMCO,Orlando International Airport,Orlando,US,28.42940,-81.30900,29,America/New_York
MCP,SBMQ,Macapá - Alberto Alcolumbre International Airport,Macapá,BR,0.05066,-51.07220,17,America/Belem
MCT,OOMS,Muscat International Airport,Muscat/Seeb,OM,23.60022,58.28527,15,Asia/Muscat
MCW,KMCW,Mason City Municipal Airport,Mason City,US,43.15980,-93.32972,370,America/Chicago
MCX,URML,Makhachkala Uytash International Airport,Makhachkala,RU,42.81680,47.65230,4,Europe/Moscow
MCY,YBSU,Sunshine Coast Airport,Maroochydore,AU,-26.59332,153.08319,5,Australia/Brisbane
MCZ,SBMO,Zumbi dos Palmares International Airport,Maceió,BR,-9.51256,-35.79184,118,America/Maceio
MDC,WAMM,Sam Ratulangi International Airport,Manado,ID,1.54859,124.92625,80,Asia/Makassar
MDE,SKRG,Jose Maria Córdova International Airport,Medellín,CO,6.16454,-75.42310,2120,America/Bogota
MDG,ZYMD,Mudanjiang Hailang International Airport,Mudanjiang,CN,44.52517,129.56863,269,Asia/Shanghai
MDI,DNMK,Makurdi Airport,Makurdi,NG,7.70388,8.61394,113,Africa/Lagos
MDK,FZEA,Mbandaka Airport,Mbandaka,CD,0.02260,18.28870,317,Africa/Kinshasa
MDL,VYMD,Mandalay International Airport,Mandalay,MM,21.70220,95.97790,91,Asia/Yangon
MDQ,SAZM,Ástor Piazzola International Airport,Mar del Plata,AR,-37.93420,-57.57330,22,America/Argentina/Buenos_Aires
MDT,KMDT,Harrisburg International Airport,Harrisburg,US,40.19284,-76.76233,94,America/New_York
MDU,AYMN,Mendi Airport,Mendi,PG,-6.14774,143.65700,1731,Pacific/Port_Moresby
MDW,KMDW,Chicago Midway International Airport,Chicago,US,41.78600,-87.75240,189,America/Chicago
MDZ,SAME,Governor Francisco Gabrielli International Airport,Mendoza,AR,-32.83170,-68.79290,704,America/Argentina/Mendoza
MEB,YMEN,Melbourne Essendon Airport,Essendon Fields,AU,-37.72810,144.90199,86,Australia/Melbourne
MEC,SEMT,Eloy Alfaro International Airport,Manta,EC,-0.94608,-80.67880,15,America/Guayaquil
MED,OEMA,Prince Mohammad Bin Abdulaziz Airport,Medina,SA,24.55340,39.70510,656,Asia/Riyadh
MEE,NWWR,Maré Airport,Maré,NC,-21.48244,168.03847,43,Pacific/Noumea
MEG,FNMA,Malanje Airport,Malanje,AO,-9.52509,16.31240,1179,Africa/Luanda
MEH,ENMH,Mehamn Airport,Mehamn,NO,71.02970,27.82670,12,Europe/Oslo
MEI,KMEI,Key Field / Meridian Regional Airport,Meridian,US,32.33260,-88.75190,91,America/Chicago
MEL,YMML,Melbourne Airport,Melbourne,AU,-37.67073,144.83790,132,Australia/Melbourne
MEM,KMEM,Frederick W. Smith International Airport,Memphis,US,35.04384,-89.97634,104,America/Chicago
MEQ,WITC,Cut Nyak Dhien Airport,Kuala Pesisir,ID,4.04100,96.25331,3,Asia/Jakarta
MEX,MMMX,Mexico City Benito Juárez International Airport,Mexico City,MX,19.43582,-99.07033,2230,America/Mexico_City
MFE,KMFE,McAllen Miller International Airport,McAllen,US,26.17614,-98.23797,33,America/Chicago
MFK,RCMT,Matsu Beigan Airport,Matsu (Beigan),TW,26.22414,120.00268,12,Asia/Taipei
MFM,VMMC,Macau International Airport,Nossa Senhora do Carmo,MO,22.14960,113.59200,6,Asia/Macau
MFR,KMFR,Rogue Valley International-Medford Airport,Medford,US,42.37420,-122.87300,407,America/Los_Angeles
MFU,FLMF,Mfuwe International Airport,Mfuwe,ZM,-13.25890,31.93660,565,Africa/Lusaka
MGA,MNMG,Augusto C. Sandino (Managua) International Airport,Managua,NI,12.14150,-86.16820,59,America/Managua
MGB,YMTG,Mount Gambier Airport,Mount Gambier,AU,-37.74438,140.78056,0,Australia/Adelaide
MGC,KMGC,Michigan City Municipal Airport,Michigan City,US,41.70330,-86.82120,200,America/Chicago
MGF,SBMG,Regional de Maringá - Sílvio Name Júnior Airport,Maringá,BR,-23.47606,-52.01619,549,America/Sao_Paulo
MGH,FAMG,Margate Airport,Margate,ZA,-30.85740,30.34300,151,Africa/Johannesburg
MGM,KMGM,Montgomery Regional (Dannelly Field) Airport,Montgomery,US,32.30060,-86.39400,67,America/Chicago
MGQ,HCMM,Aden Adde International Airport,Mogadishu,SO,2.01444,45.30470,9,Africa/Mogadishu
MGW,KMGW,Morgantown Municipal Airport Walter L. (Bill) Hart Field,Morgantown,US,39.64330,-79.91760,380,America/New_York
MGZ,VYME,Myeik Airport,Mkeik,MM,12.43980,98.62150,23,Asia/Yangon
MHD,OIMM,Mashhad International Airport,Mashhad,IR,36.23482,59.64295,995,Asia/Tehran
MHG,EDFM,Mannheim-City Airport,Mannheim,DE,49.47306,8.51417,94,Europe/Berlin
MHH,MYAM,Leonard M. Thompson International Airport,Marsh Harbour,BS,26.51071,-77.08426,2,America/Nassau
MHK,KMHK,Manhattan Regional Airport,Manhattan,US,39.14100,-96.67080,322,America/Chicago
MHQ,EFMA,Mariehamn Airport,Mariehamn,FI,60.12220,19.89820,5,Europe/Mariehamn
MHT,KMHT,Manchester-Boston Regional Airport,Manchester,US,42.93260,-71.43570,81,America/New_York
MHU,YHOT,Mount Hotham Airport,Mount Hotham,AU,-37.04750,147.33400,1298,Australia/Melbourne
MIA,KMIA,Miami International Airport,Miami,US,25.79601,-80.28975,2,America/New_York
MID,MMMD,Manuel Crescencio Rejón International Airport,Mérida,MX,20.93049,-89.64546,12,America/Merida
MIG,ZUMY,Mianyang Nanjiao Airport,Mianyang (Fucheng),CN,31.42810,104.74100,2400,Asia/Shanghai
MII,SBML,Frank Miloye Milenkowichi–Marília State Airport,Marília,BR,-22.19690,-49.92648,650,America/Sao_Paulo
MIM,YMER,Merimbula Airport,Merimbula,AU,-36.90860,149.90100,2,Australia/Sydney
MIR,DTMB,Monastir Habib Bourguiba International Airport,Monastir,TN,35.75810,10.75470,3,Africa/Tunis
MIU,DNMA,Maiduguri International Airport,Maiduguri,NG,11.85416,13.08070,335,Africa/Lagos
MJF,ENMS,"Mosjøen Airport, Kjærstad",Mosjøen,NO,65.78400,13.21490,72,Europe/Oslo
MJI,HLLM,Mitiga International Airport,Tripoli,LY,32.89177,13.28788,11,Africa/Tripoli
MJK,YSHK,Shark Bay Airport,Denham,AU,-25.89729,113.57580,34,Australia/Perth
MJM,FZWA,Mbuji Mayi Airport,Mbuji Mayi,CD,-6.12124,23.56900,677,Africa/Lubumbashi
MJN,FMNM,Amborovy Airport,Mahajanga,MG,-15.66684,46.35123,27,Indian/Antananarivo
MJT,LGMT,Mytilene International Airport,Mytilene,GR,39.05741,26.59863,18,Europe/Athens
MJZ,UERR,Mirny Airport,Mirny,RU,62.53470,114.03900,352,Asia/Yakutsk
MKE,KMKE,General Mitchell International Airport,Milwaukee,US,42.94720,-87.89660,220,America/Chicago
MKG,KMKG,Muskegon County Airport,Muskegon,US,43.16950,-86.23820,192,America/Detroit
MKK,PHMK,Molokai Airport,Kaunakakai,US,21.15290,-157.09599,138,Pacific/Honolulu
MKL,KMKL,McKellar-Sipes Regional Airport,Jackson,US,35.59990,-88.91560,132,America/Chicago
MKM,WBGK,Mukah Airport,Mukah,MY,2.88194,112.04333,6,Asia/Kuching
MKP,NTGM,Makemo Airport,Makemo,PF,-16.58390,-143.65801,1,Pacific/Tahiti
MKQ,WAKK,Mopah International Airport,Merauke,ID,-8.52390,140.41969,3,Asia/Jayapura
MKR,YMEK,Meekatharra Airport,,AU,-26.61170,118.54800,522,Australia/Perth
MKU,FOOK,Makokou Airport,Makokou,GA,0.57921,12.89090,526,Africa/Libreville
MKW,WAUU,Rendani Airport,Manokwari,ID,-0.89183,134.04900,7,Asia/Jayapura
MKY,YBMK,Mackay Airport,Mackay,AU,-21.17082,149.18259,6,Australia/Brisbane
MKZ,WMKM,Malacca International Airport,Malacca,MY,2.26561,102.25278,11,Asia/Kuala_Lumpur
MLA,LMML,Malta International Airport,Valletta,MT,35.84593,14.49155,91,Europe/Malta
MLB,KMLB,Melbourne Orlando International Airport,Melbourne,US,28.10201,-80.64109,10,America/New_York
MLE,VRMM,Velana International Airport,Malé,MV,4.19183,73.52910,2,Indian/Maldives
MLG,WARA,Abdul Rachman Saleh Airport,Malang,ID,-7.92910,112.71423,526,Asia/Jakarta
MLI,KMLI,Quad City International Airport,Moline,US,41.44850,-90.50750,180,America/Chicago
MLM,MMMM,General Francisco J. Mujica International Airport,Morelia,MX,19.84990,-101.02500,1839,America/Mexico_City
MLN,GEML,Melilla Airport,Melilla,ES,35.27980,-2.95626,48,Africa/Ceuta
MLU,KMLU,Monroe Regional Airport,Monroe,US,32.51090,-92.03770,24,America/Chicago
MLW,GLMR,Spriggs Payne Airport,Monrovia,LR,6.28906,-10.75870,8,Africa/Monrovia
MLX,LTAT,Malatya Erhaç Airport,Malatya,TR,38.43530,38.09100,862,Europe/Istanbul
MMB,RJCM,Memanbetsu Airport,Ōzora,JP,43.88060,144.16400,41,Asia/Tokyo
MMD,ROMD,Minamidaito Airport,Minamidaito,JP,25.84650,131.26300,51,Asia/Tokyo
MME,EGNV,Teesside International Airport,"Darlington, Durham",GB,54.50920,-1.42941,37,Europe/London
MMG,YMOG,Mount Magnet Airport,,AU,-28.11610,117.84200,413,Australia/Perth
MMH,KMMH,Mammoth Yosemite Airport,Mammoth Lakes,US,37.62538,-118.84306,2175,America/Los_Angeles
MMJ,RJAF,Shinshu-Matsumoto Airport,Matsumoto,JP,36.16680,137.92300,665,Asia/Tokyo
MMK,ULMM,Emperor Nicholas II Murmansk Airport,Murmansk,RU,68.78170,32.75080,81,Europe/Moscow
MMO,GVMA,Maio Airport,Vila do Maio,CV,15.15590,-23.21370,11,Atlantic/Cape_Verde
MMX,ESMS,Malmö Sturup Airport,Malmö,SE,55.53556,13.37633,72,Europe/Stockholm
MMY,ROMY,Miyako Airport,Miyakojima,JP,24.78280,125.29500,46,Asia/Tokyo
MNC,FQNC,Nacala International Airport,Nacala,MZ,-14.48820,40.71220,125,Africa/Maputo
MNG,YMGD,Maningrida Airport,Maningrida,AU,-12.05610,134.23399,37,Australia/Darwin
MNI,TRPG,John A. Osborne Airport,Gerald's Park,MS,16.79183,-62.19320,168,America/Montserrat
MNJ,FMSM,Mananjary Airport,Mananjary,MG,-21.20180,48.35830,6,Indian/Antananarivo
MNL,RPLL,Ninoy Aquino International Airport,Manila (Pasay),PH,14.50860,121.02000,23,Asia/Manila
MNX,SBMY,Manicoré Airport,Manicoré,BR,-5.81138,-61.27830,53,America/Manaus
MOB,KMOB,Mobile Regional Airport,Mobile,US,30.69120,-88.24280,67,America/Chicago
MOC,SBMK,Mário Ribeiro Airport,Montes Claros,BR,-16.70692,-43.81890,668,America/Sao_Paulo
MOG,VYMS,Mong Hsat Airport,Mong Hsat,MM,20.51680,99.25680,572,Asia/Yangon
MOL,ENML,"Molde Airport, Årø",Årø,NO,62.74470,7.26250,3,Europe/Oslo
MOQ,FMMV,Morondava Airport,Morondava,MG,-20.28470,44.31760,9,Indian/Antananarivo
MOT,KMOT,Minot International Airport,Minot,US,48.25801,-101.27912,523,America/Chicago
MOV,YMRB,Moranbah Airport,Moranbah,AU,-22.05780,148.07700,235,Australia/Brisbane
MOZ,NTTM,Moorea Temae Airport,Moorea-Maiao,PF,-17.48979,-149.76178,3,Pacific/Tahiti
MPA,FYKM,Katima Mulilo Airport,Mpacha,NA,-17.63426,24.17669,958,Africa/Windhoek
MPH,RPVE,Godofredo P. Ramos Airport,Caticlan,PH,11.92450,121.95400,2,Asia/Manila
MPL,LFMT,Montpellier-Méditerranée Airport,Montpellier/Méditerranée,FR,43.57620,3.96301,5,Europe/Paris
MPM,FQMA,Maputo Airport,Maputo,MZ,-25.92080,32.57260,44,Africa/Maputo
MPN,EGYP,Mount Pleasant Airport / RAF Mount Pleasant,Mount Pleasant,FK,-51.82264,-58.44578,74,Atlantic/Stanley
MPY,SOOA,Maripasoula Airport,Maripasoula,GF,3.65591,-54.03943,124,America/Cayenne
MQF,USCM,Magnitogorsk International Airport,Magnitogorsk,RU,53.39199,58.75523,436,Asia/Yekaterinburg
MQJ,UEMA,Moma Airport,Khonuu,RU,66.45086,143.26155,200,Asia/Srednekolymsk
MQL,YMIA,Mildura Airport,Mildura,AU,-34.22920,142.08600,51,Australia/Melbourne
MQM,LTCR,Mardin Airport,Mardin,TR,37.22330,40.63170,527,Europe/Istanbul
MQN,ENRA,"Mo i Rana Airport, Røssvoll",Mo i Rana,NO,66.36390,14.30140,70,Europe/Oslo
MQP,FAKN,Kruger Mpumalanga International Airport,Mbombela,ZA,-25.38333,31.10533,862,Africa/Johannesburg
MQS,TVSM,Mustique Airport,Lovell,VC,12.88790,-61.18020,2,America/St_Vincent
MQT,KSAW,Marquette Sawyer Regional Airport,Gwinn,US,46.35150,-87.39588,372,America/Detroit
MQX,HAMK,Mekele Alula Aba Nega Airport,Mekele,ET,13.46740,39.53350,2254,Africa/Addis_Ababa
MRE,HKMS,Mara Serena Lodge Airstrip,Serena,KE,-1.40459,35.00835,1585,Africa/Nairobi
MRI,PAMR,Merrill Field,Anchorage,US,61.21279,-149.84399,42,America/Anchorage
MRS,LFML,Marseille Provence Airport,"Marignane, Bouches-du-Rhône",FR,43.43809,5.21250,23,Europe/Paris
MRU,FIMP,Sir Seewoosagur Ramgoolam International Airport,Plaine Magnien,MU,-20.43020,57.68360,57,Indian/Mauritius
MRV,URMM,Mineralnye Vody Airport,Mineralnyye Vody,RU,44.22510,43.08190,321,Europe/Moscow
MRX,OIAM,Mahshahr Airport,Mahshahr,IR,30.55620,49.15190,2,Asia/Tehran
MRY,KMRY,Monterey Regional Airport,Monterey,US,36.58678,-121.84418,78,America/Los_Angeles
MRZ,YMOR,Moree Airport,Moree,AU,-29.49890,149.84500,214,Australia/Sydney
MSJ,RJSM,Misawa Airport / Misawa Air Base,Misawa,JP,40.70320,141.36800,36,Asia/Tokyo
MSL,KMSL,Northwest Alabama Regional Airport,Muscle Shoals,US,34.74512,-87.61298,168,America/Chicago
MSN,KMSN,Dane County Regional Truax Field,Madison,US,43.13990,-89.33750,270,America/Chicago
MSO,KMSO,Missoula Montana Airport,Missoula,US,46.91582,-114.09111,977,America/Denver
MSP,KMSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,Minneapolis,US,44.88008,-93.22174,256,America/Chicago
MSQ,UMMS,Minsk National Airport,Minsk,BY,53.88807,28.03996,204,Europe/Minsk
MSR,LTCK,Muş Airport,Muş,TR,38.74780,41.66120,1267,Europe/Istanbul
MSS,KMSS,Massena International Airport Richards Field,Massena,US,44.93616,-74.84430,66,America/New_York
MST,EHBK,Maastricht Aachen Airport,Maastricht,NL,50.91109,5.76940,114,Europe/Amsterdam
MSU,FXMM,Moshoeshoe I International Airport,Maseru(Mazenod),LS,-29.45628,27.55446,1630,Africa/Maseru
MSY,KMSY,Louis Armstrong New Orleans International Airport,New Orleans,US,29.99340,-90.26467,1,America/Chicago
MSZ,FNMO,Welwitschia Mirabilis International Airport,Moçâmedes,AO,-15.26120,12.14680,64,Africa/Luanda
MTJ,KMTJ,Montrose Regional Airport,Montrose,US,38.50980,-107.89400,1755,America/Denver
MTR,SKMR,Los Garzones Airport,Montería,CO,8.82374,-75.82580,12,America/Bogota
MTT,MMMT,Minatitlán/Coatzacoalcos International Airport,Cosoleacaque,MX,18.10340,-94.58070,11,America/Mexico_City
MTY,MMMY,Monterrey International Airport,Monterrey,MX,25.77852,-100.10699,390,America/Monterrey
MUA,AGGM,Munda Airport,Munda,SB,-8.32797,157.26300,3,Pacific/Guadalcanal
MUB,FBMN,Maun International Airport,Maun,BW,-19.97049,23.43141,943,Africa/Gaborone
MUC,EDDM,Munich Airport,Munich,DE,48.35380,11.78610,453,Europe/Berlin
MUE,PHMU,Waimea Kohala Airport,Waimea (Kamuela),US,20.00130,-155.66800,814,Pacific/Honolulu
MUH,HEMM,Mersa Matruh International Airport,Marsa Matruh,EG,31.32431,27.22227,23,Africa/Cairo
MUN,SVMT,José Tadeo Monagas International Airport,Maturín,VE,9.74902,-63.15335,68,America/Caracas
MUR,WBGM,Marudi Airport,Marudi,MY,4.17873,114.33032,31,Asia/Kuching
MUX,OPMT,Multan International Airport,Multan,PK,30.20320,71.41910,123,Asia/Karachi
MVB,FOON,M'Vengue El Hadj Omar Bongo Ondimba International Airport,Franceville,GA,-1.65616,13.43800,442,Africa/Libreville
MVD,SUMU,Carrasco General Cesáreo L. Berisso International Airport,Ciudad de la Costa,UY,-34.83565,-56.02650,32,America/Montevideo
MVF,SBMS,Dix-Sept Rosado Airport,Mossoró,BR,-5.20192,-37.36430,23,America/Fortaleza
MVP,SKMU,Fabio Alberto Leon Bentley Airport,Mitú,CO,1.25366,-70.23390,207,America/Bogota
MVQ,UMOO,Mogilev Airport,Mogilev,BY,53.95490,30.09510,194,Europe/Minsk
MVR,FKKL,Salak Airport,Maroua,CM,10.45140,14.25740,424,Africa/Douala
MVT,NTGV,Mataiva Airport,,PF,-14.86810,-148.71700,3,Pacific/Tahiti
MWA,KMWA,Veterans Airport of Southern Illinois,Marion,US,37.75121,-89.01657,144,America/Chicago
MWL,KMWL,Mineral Wells Regional Airport,Mineral Wells,US,32.78160,-98.06020,297,America/Chicago
MWX,RKJB,Muan International Airport,Muan (Piseo-ri),KR,34.99141,126.38281,11,Asia/Seoul
MWZ,HTMW,Mwanza International Airport,Mwanza,TZ,-2.44656,32.93605,1147,Africa/Dar_es_Salaam
MXL,MMML,General Rodolfo Sánchez Taboada International Airport,Mexicali,MX,32.63063,-115.24281,23,America/Tijuana
MXP,LIMC,Milan Malpensa International Airport,Ferno (VA),IT,45.63060,8.72811,234,Europe/Rome
MXV,ZMMN,Mörön Airport,Mörön,MN,49.66368,100.10003,1302,Asia/Ulaanbaatar
MXX,ESKM,Mora Airport,Mora,SE,60.95790,14.51140,193,Europe/Stockholm
MYA,YMRY,Moruya Airport,Moruya,AU,-35.89780,150.14400,4,Australia/Sydney
MYD,HKML,Malindi International Airport,Malindi,KE,-3.22931,40.10170,24,Africa/Nairobi
MYE,RJTQ,Miyakejima Airport,Miyakejima,JP,34.07360,139.56000,20,Asia/Tokyo
MYG,MYMM,Mayaguana Airport,Abraham Bay Settlement,BS,22.37950,-73.01349,3,America/Nassau
MYJ,RJOM,Matsuyama Airport,Matsuyama,JP,33.82689,132.70011,8,Asia/Tokyo
MYL,KMYL,McCall Municipal Airport,McCall,US,44.88884,-116.10111,1531,America/Boise
MYP,UTAM,Mary International Airport,Mary,TM,37.62353,61.89567,222,Asia/Ashgabat
MYQ,VOMY,Mysore Airport,Mysore,IN,12.22975,76.65368,716,Asia/Kolkata
MYR,KMYR,Myrtle Beach International Airport,Myrtle Beach,US,33.67970,-78.92830,8,America/New_York
MYT,VYMK,Myitkyina Airport,Myitkyina,MM,25.38360,97.35190,145,Asia/Yangon
MYU,PAMY,Mekoryuk Airport,Mekoryuk,US,60.37234,-166.26975,15,America/Nome
MYW,HTMT,Mtwara Airport,Mtwara,TZ,-10.33620,40.18200,113,Africa/Dar_es_Salaam
MYY,WBGR,Miri Airport,Miri,MY,4.32201,113.98700,18,Asia/Kuching
MZG,RCQC,Penghu Magong Airport,Huxi,TW,23.56870,119.62800,31,Asia/Taipei
MZH,LTAP,Amasya Merzifon Airport,Amasya,TR,40.82940,35.52200,536,Europe/Istanbul
MZI,GAMB,Mopti Airport,Sévaré,ML,14.51280,-4.07956,276,Africa/Bamako
MZL,SKMZ,La Nubia Airport,Manizales,CO,5.02960,-75.46470,2094,America/Bogota
MZO,MUMZ,Sierra Maestra International Airport,Manzanillo,CU,20.28861,-77.08755,34,America/Havana
MZQ,FAMU,Mkuze Airport,Mkuze,ZA,-27.62610,32.04430,122,Africa/Johannesburg
MZR,OAMS,Mazar-i-Sharif International Airport,Mazar-i-Sharif,AF,36.70412,67.21046,391,Asia/Kabul
MZS,VIMB,Moradabad Airport,Moradabad,IN,28.81746,78.92187,194,Asia/Kolkata
MZT,MMMZ,General Rafael Buelna International Airport,Mazatlàn,MX,23.16282,-106.26452,12,America/Mazatlan
MZV,WBMU,Mulu Airport,Mulu,MY,4.04833,114.80500,24,Asia/Kuching
MZW,DAAY,Mecheria Airport,Mecheria,DZ,33.53590,-0.24235,1175,Africa/Algiers
NAA,YNBR,Narrabri Airport,Narrabri,AU,-30.31920,149.82700,240,Australia/Sydney
NAG,VANP,Dr. Babasaheb Ambedkar International Airport,Nagpur,IN,21.09220,79.04720,315,Asia/Kolkata
NAH,WAMH,Naha Airport,"Tabukan Utara, Sangihe Islands",ID,3.68478,125.52716,5,Asia/Makassar
NAJ,UBBN,Nakhchivan International Airport,Nakhchivan,AZ,39.18880,45.45840,873,Asia/Baku
NAL,URMN,Nalchik Airport,Nalchik,RU,43.51290,43.63660,445,Europe/Moscow
NAM,WAPN,Namniwel Airport,Namniwel,ID,-3.14316,126.97647,2,Asia/Jayapura
NAN,NFFN,Nadi International Airport,Nadi,FJ,-17.76182,177.43784,18,Pacific/Fiji
NAP,LIRN,Naples International Airport,Napoli,IT,40.88600,14.29080,90,Europe/Rome
NAQ,BGQQ,Qaanaaq Airport,Qaanaaq,GL,77.48860,-69.38870,16,America/Thule
NAS,MYNN,Lynden Pindling International Airport,Nassau,BS,25.03900,-77.46620,5,America/Nassau
