iata,icao,name,city,country,lat,lon,elev_m,tz
IXK,VAKS,Keshod Airport,Keshod,IN,21.31710,70.27040,51,Asia/Kolkata
IXL,VILH,Leh Kushok Bakula Rimpochee Airport,Leh,IN,34.13590,77.54650,3256,Asia/Kolkata
IXM,VOMD,Madurai Airport,Madurai,IN,9.83451,78.09340,140,Asia/Kolkata
IXP,VIPK,Pathankot Airport,Pathankot,IN,32.23361,75.63444,310,Asia/Kolkata
IXR,VERC,Birsa Munda Airport,Ranchi,IN,23.31430,85.32170,655,Asia/Kolkata
IXS,VEKU,Silchar Airport,Silchar,IN,24.91290,92.97870,107,Asia/Kolkata
IXU,VAAU,Aurangabad Airport,Aurangabad,IN,19.86287,75.39631,582,Asia/Kolkata
IXY,VAKE,Kandla Airport,Kandla,IN,23.11270,70.10030,29,Asia/Kolkata
IXZ,VOPB,Veer Savarkar International Airport / INS Utkrosh,Port Blair,IN,11.64019,92.72902,4,Asia/Kolkata
IZA,SBZM,Presidente Itamar Franco Airport,Juiz de Fora,BR,-21.51309,-43.17307,411,America/Sao_Paulo
IZO,RJOC,Izumo Enmusubi Airport,Izumo,JP,35.41360,132.89000,5,Asia/Tokyo
IZT,MMIT,General Antonio Cárdenas Rodríguez National Airport / Ixtepec Air Base,Ixtepec,MX,16.44596,-95.09371,50,America/Mexico_City
JAC,KJAC,Jackson Hole Airport,Jackson,US,43.60730,-110.73800,1966,America/Denver
JAE,SPJE,Shumba Airport,Jaén,PE,-5.59248,-78.77400,755,America/Lima
JAF,VCCJ,Jaffna International Airport,Jaffna,LK,9.79233,80.07010,10,Asia/Colombo
JAI,VIJP,Jaipur International Airport,Jaipur,IN,26.82420,75.81220,385,Asia/Kolkata
JAN,KJAN,Jackson-Medgar Wiley Evers International Airport,Jackson,US,32.31120,-90.07590,105,America/Chicago
JAU,SPJJ,Francisco Carle Airport,Jauja,PE,-11.78310,-75.47340,3363,America/Lima
JAV,BGJN,Ilulissat Airport,Ilulissat,GL,69.24320,-51.05710,29,America/Nuuk
JAX,KJAX,Jacksonville International Airport,Jacksonville,US,30.49247,-81.68781,9,America/New_York
JBQ,MDJB,La Isabela International Airport,La Isabela,DO,18.57250,-69.98560,30,America/Santo_Domingo
JBR,KJBR,Jonesboro Municipal Airport,Jonesboro,US,35.83170,-90.64640,80,America/Chicago
JCL,LKCS,České Budějovice South Bohemian Airport,České Budějovice,CZ,48.94817,14.42832,432,Europe/Prague
JDF,SBJF,Francisco de Assis Airport,Juiz de Fora,BR,-21.79148,-43.38607,911,America/Sao_Paulo
JDH,VIJO,Jodhpur Airport,Jodhpur,IN,26.25110,73.04890,219,Asia/Kolkata
JDZ,ZSJD,Jingdezhen Luojia Airport,Jingdezhen,CN,29.33860,117.17600,34,Asia/Shanghai
JED,OEJN,King Abdulaziz International Airport,Jeddah,SA,21.68024,39.15744,15,Asia/Riyadh
JEE,MTJE,Jérémie Airport,Carrefour Sanon,HT,18.66310,-74.17030,45,America/Port-au-Prince
JEG,BGAA,Aasiaat Airport,Aasiaat,GL,68.72180,-52.78470,23,America/Nuuk
JER,EGJJ,Jersey Airport,St. Peter,JE,49.20790,-2.19551,84,Europe/Jersey
JFK,KJFK,John F. Kennedy International Airport,New York,US,40.63945,-73.77932,4,America/New_York
JGA,VAJM,Jamnagar Airport,Jamnagar,IN,22.46550,70.01260,21,Asia/Kolkata
JGD,ZYJD,Daxing'anling Elunchun Airport,Jiagedaqi,CN,50.37139,124.11750,367,Asia/Shanghai
JGN,ZLJQ,Jiayuguan International Airport,Jiayuguan,CN,39.85905,98.33934,1558,Asia/Shanghai
JGS,ZSGS,Jinggangshan Airport,Ji'an,CN,26.85690,114.73700,86,Asia/Shanghai
JHB,WMKJ,Senai International Airport,Johor Bahru,MY,1.64131,103.67000,41,Asia/Kuala_Lumpur
JHG,ZPJH,Xishuangbanna Gasa International Airport,Jinghong (Gasa),CN,21.97465,100.76222,553,Asia/Shanghai
JHM,PHJH,Kapalua Airport,Lahaina,US,20.96290,-156.67300,78,Pacific/Honolulu
JHS,BGSS,Sisimiut Airport,Sisimiut,GL,66.95130,-53.72930,10,America/Nuuk
JIB,HDAM,Djibouti-Ambouli Airport,Djibouti City,DJ,11.54730,43.15950,15,Africa/Djibouti
JIC,ZLJC,Jinchang Jinchuan Airport,Jinchang,CN,38.54222,102.34833,1445,Asia/Shanghai
JIJ,HAJJ,Gerad Wilwal International Airport,Jijiga,ET,9.33191,42.91181,1815,Africa/Addis_Ababa
JIM,HAJM,Jimma Airport,Jimma,ET,7.66609,36.81660,1676,Africa/Addis_Ababa
JIQ,ZUQJ,Qianjiang Wulingshan Airport,Qianjiang,CN,29.51333,108.83111,632,Asia/Shanghai
JJD,SBJE,Comandante Ariston Pessoa Airport,Cruz,BR,-2.90643,-40.35734,27,America/Fortaleza
JJN,ZSQZ,Quanzhou Jinjiang International Airport,Quanzhou,CN,24.79585,118.58860,12,Asia/Shanghai
JJU,BGQO,Qaqortoq Airport,Qaqortoq,GL,60.76383,-46.06500,154,America/Nuuk
JKG,ESGJ,Jönköping Airport,Jönköping,SE,57.75760,14.06870,226,Europe/Stockholm
JKH,LGHI,Chios Island National Airport,Chios Island,GR,38.34320,26.14060,5,Europe/Athens
JKR,VNJP,Janakpur Airport,Janakpur,NP,26.70880,85.92240,78,Asia/Kathmandu
